Assay,Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Sample Characteristic[strain],Sample Characteristic Ontology Term[strain],Sample Characteristic[sex],Sample Characteristic Ontology Term[sex],Sample Characteristic[age],Sample Characteristic Ontology Term[age],Sample Characteristic[organism part],Sample Characteristic Ontology Term[organism part],Sample Characteristic[cell type],Sample Characteristic Ontology Term[cell type],Sample Characteristic[facs marker],Sample Characteristic Ontology Term[facs marker],Factor Value[single cell identifier],Factor Value Ontology Term[single cell identifier],Factor Value[cell type],Factor Value Ontology Term[cell type]
Prog_513,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_513,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_514,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_514,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_515,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_515,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_516,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_516,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_517,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_517,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_518,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_518,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_519,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_519,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_520,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_520,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_521,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_521,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_522,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_522,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_523,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_523,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_524,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_524,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_525,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_525,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_526,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_526,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_527,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_527,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_528,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_528,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_529,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_529,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_530,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_530,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_531,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_531,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_532,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_532,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_533,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_533,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_534,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_534,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_535,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_535,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_536,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_536,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_537,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_537,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_538,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_538,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_539,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_539,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_540,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_540,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_541,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_541,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_542,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_542,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_543,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_543,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_544,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_544,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_545,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_545,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_546,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_546,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_547,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_547,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_548,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_548,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_549,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_549,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_550,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_550,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_551,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_551,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_552,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_552,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_553,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_553,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_554,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_554,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_555,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_555,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_556,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_556,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_557,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_557,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_558,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_558,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_559,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_559,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_560,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_560,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_561,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_561,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_562,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_562,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_563,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_563,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_564,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_564,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
Prog_565,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",Lin- Sca1- c-Kit+,Prog_565,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell",,,,,
